Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Section 7,FB80E49E,Thu Apr 07 2022 11:01:54 GMT-0500 (CDT),Not set,3600,4772,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
90,Fri Sep 24 2021 10:01:54 GMT-0500 (CDT),23.1,49.7,12.1
91,Fri Sep 24 2021 11:01:54 GMT-0500 (CDT),23.1,49.6,12.1
92,Fri Sep 24 2021 12:01:54 GMT-0500 (CDT),23.0,49.5,12.0
93,Fri Sep 24 2021 13:01:54 GMT-0500 (CDT),23.1,49.5,12.1
94,Fri Sep 24 2021 14:01:54 GMT-0500 (CDT),23.0,49.4,11.9
95,Fri Sep 24 2021 15:01:54 GMT-0500 (CDT),22.9,49.3,11.8
96,Fri Sep 24 2021 16:01:54 GMT-0500 (CDT),23.0,49.2,11.9
97,Fri Sep 24 2021 17:01:54 GMT-0500 (CDT),22.9,49.2,11.8
98,Fri Sep 24 2021 18:01:54 GMT-0500 (CDT),22.7,49.2,11.6
99,Fri Sep 24 2021 19:01:54 GMT-0500 (CDT),22.7,49.2,11.6
100,Fri Sep 24 2021 20:01:54 GMT-0500 (CDT),22.6,49.2,11.5
101,Fri Sep 24 2021 21:01:54 GMT-0500 (CDT),22.6,49.1,11.5
102,Fri Sep 24 2021 22:01:54 GMT-0500 (CDT),22.7,49.1,11.6
103,Fri Sep 24 2021 23:01:54 GMT-0500 (CDT),22.7,49.1,11.6
104,Sat Sep 25 2021 00:01:54 GMT-0500 (CDT),22.8,49.0,11.6
105,Sat Sep 25 2021 01:01:54 GMT-0500 (CDT),22.9,49.0,11.7
106,Sat Sep 25 2021 02:01:54 GMT-0500 (CDT),22.8,49.0,11.6
107,Sat Sep 25 2021 03:01:54 GMT-0500 (CDT),22.6,49.0,11.4
108,Sat Sep 25 2021 04:01:54 GMT-0500 (CDT),22.5,49.0,11.3
109,Sat Sep 25 2021 05:01:54 GMT-0500 (CDT),22.4,49.0,11.3
110,Sat Sep 25 2021 06:01:54 GMT-0500 (CDT),22.3,49.0,11.2
111,Sat Sep 25 2021 07:01:54 GMT-0500 (CDT),22.3,49.0,11.2
112,Sat Sep 25 2021 08:01:54 GMT-0500 (CDT),22.7,48.9,11.5
113,Sat Sep 25 2021 09:01:54 GMT-0500 (CDT),22.9,48.9,11.7
114,Sat Sep 25 2021 10:01:54 GMT-0500 (CDT),22.7,48.9,11.5
115,Sat Sep 25 2021 11:01:54 GMT-0500 (CDT),22.8,48.8,11.6
116,Sat Sep 25 2021 12:01:54 GMT-0500 (CDT),22.6,48.8,11.4
117,Sat Sep 25 2021 13:01:54 GMT-0500 (CDT),22.5,48.8,11.3
118,Sat Sep 25 2021 14:01:54 GMT-0500 (CDT),22.3,48.8,11.1
119,Sat Sep 25 2021 15:01:54 GMT-0500 (CDT),22.2,48.7,11.0
120,Sat Sep 25 2021 16:01:54 GMT-0500 (CDT),22.2,48.7,11.0
121,Sat Sep 25 2021 17:01:54 GMT-0500 (CDT),22.1,48.6,10.9
122,Sat Sep 25 2021 18:01:54 GMT-0500 (CDT),22.0,48.6,10.8
123,Sat Sep 25 2021 19:01:54 GMT-0500 (CDT),22.0,48.5,10.7
124,Sat Sep 25 2021 20:01:54 GMT-0500 (CDT),22.0,48.4,10.7
125,Sat Sep 25 2021 21:01:54 GMT-0500 (CDT),22.0,48.3,10.7
126,Sat Sep 25 2021 22:01:54 GMT-0500 (CDT),22.0,48.3,10.7
127,Sat Sep 25 2021 23:01:54 GMT-0500 (CDT),21.9,48.2,10.5
128,Sun Sep 26 2021 00:01:54 GMT-0500 (CDT),21.8,48.1,10.4
129,Sun Sep 26 2021 01:01:54 GMT-0500 (CDT),21.8,48.0,10.4
130,Sun Sep 26 2021 02:01:54 GMT-0500 (CDT),21.8,48.0,10.4
131,Sun Sep 26 2021 03:01:54 GMT-0500 (CDT),21.8,47.9,10.4
132,Sun Sep 26 2021 04:01:54 GMT-0500 (CDT),21.8,47.8,10.3
133,Sun Sep 26 2021 05:01:54 GMT-0500 (CDT),21.8,47.7,10.3
134,Sun Sep 26 2021 06:01:54 GMT-0500 (CDT),21.8,47.6,10.3
135,Sun Sep 26 2021 07:01:54 GMT-0500 (CDT),21.9,47.6,10.4
136,Sun Sep 26 2021 08:01:54 GMT-0500 (CDT),22.2,47.5,10.6
137,Sun Sep 26 2021 09:01:54 GMT-0500 (CDT),22.5,47.4,10.9
138,Sun Sep 26 2021 10:01:54 GMT-0500 (CDT),22.6,47.3,10.9
139,Sun Sep 26 2021 11:01:54 GMT-0500 (CDT),22.7,47.2,11.0
140,Sun Sep 26 2021 12:01:54 GMT-0500 (CDT),22.7,47.2,11.0
141,Sun Sep 26 2021 13:01:54 GMT-0500 (CDT),22.6,47.1,10.8
142,Sun Sep 26 2021 14:01:54 GMT-0500 (CDT),22.6,47.1,10.8
143,Sun Sep 26 2021 15:01:54 GMT-0500 (CDT),22.7,47.0,10.9
144,Sun Sep 26 2021 16:01:54 GMT-0500 (CDT),22.7,46.9,10.9
145,Sun Sep 26 2021 17:01:54 GMT-0500 (CDT),22.7,46.9,10.9
146,Sun Sep 26 2021 18:01:54 GMT-0500 (CDT),22.7,46.9,10.9
147,Sun Sep 26 2021 19:01:54 GMT-0500 (CDT),22.7,46.8,10.8
148,Sun Sep 26 2021 20:01:54 GMT-0500 (CDT),22.7,46.8,10.8
149,Sun Sep 26 2021 21:01:54 GMT-0500 (CDT),22.6,46.7,10.7
150,Sun Sep 26 2021 22:01:54 GMT-0500 (CDT),22.6,46.7,10.7
151,Sun Sep 26 2021 23:01:54 GMT-0500 (CDT),22.7,46.6,10.8
152,Mon Sep 27 2021 00:01:54 GMT-0500 (CDT),22.7,46.6,10.8
153,Mon Sep 27 2021 01:01:54 GMT-0500 (CDT),22.7,46.6,10.8
154,Mon Sep 27 2021 02:01:54 GMT-0500 (CDT),22.7,46.6,10.8
155,Mon Sep 27 2021 03:01:54 GMT-0500 (CDT),22.7,46.5,10.7
156,Mon Sep 27 2021 04:01:54 GMT-0500 (CDT),22.7,46.5,10.7
157,Mon Sep 27 2021 05:01:54 GMT-0500 (CDT),22.7,46.5,10.7
158,Mon Sep 27 2021 06:01:54 GMT-0500 (CDT),22.7,46.5,10.7
159,Mon Sep 27 2021 07:01:54 GMT-0500 (CDT),22.6,46.5,10.7
160,Mon Sep 27 2021 08:01:54 GMT-0500 (CDT),22.7,46.5,10.7
161,Mon Sep 27 2021 09:01:54 GMT-0500 (CDT),22.9,46.5,10.9
162,Mon Sep 27 2021 10:01:54 GMT-0500 (CDT),23.1,46.5,11.1
163,Mon Sep 27 2021 11:01:54 GMT-0500 (CDT),24.6,48.8,13.2
164,Mon Sep 27 2021 12:01:54 GMT-0500 (CDT),24.9,50.5,14.0
165,Mon Sep 27 2021 13:01:54 GMT-0500 (CDT),24.0,52.6,13.8
166,Mon Sep 27 2021 14:01:54 GMT-0500 (CDT),23.9,52.7,13.7
167,Mon Sep 27 2021 15:01:54 GMT-0500 (CDT),24.5,50.9,13.8
168,Mon Sep 27 2021 16:01:54 GMT-0500 (CDT),23.6,55.4,14.2
169,Mon Sep 27 2021 17:01:54 GMT-0500 (CDT),21.0,73.9,16.2
170,Mon Sep 27 2021 18:01:54 GMT-0500 (CDT),20.1,78.5,16.3
171,Mon Sep 27 2021 19:01:54 GMT-0500 (CDT),19.5,79.3,15.9
172,Mon Sep 27 2021 20:01:54 GMT-0500 (CDT),19.6,79.3,16.0
173,Mon Sep 27 2021 21:01:54 GMT-0500 (CDT),19.2,78.5,15.4
174,Mon Sep 27 2021 22:01:54 GMT-0500 (CDT),18.9,79.1,15.2
175,Mon Sep 27 2021 23:01:54 GMT-0500 (CDT),18.8,78.3,15.0
176,Tue Sep 28 2021 00:01:54 GMT-0500 (CDT),18.9,81.0,15.6
177,Tue Sep 28 2021 01:01:54 GMT-0500 (CDT),18.8,81.2,15.5
178,Tue Sep 28 2021 02:01:54 GMT-0500 (CDT),18.6,79.5,15.0
179,Tue Sep 28 2021 03:01:54 GMT-0500 (CDT),18.5,81.0,15.2
180,Tue Sep 28 2021 04:01:54 GMT-0500 (CDT),18.4,82.9,15.5
181,Tue Sep 28 2021 05:01:54 GMT-0500 (CDT),18.4,84.6,15.8
182,Tue Sep 28 2021 06:01:54 GMT-0500 (CDT),18.4,84.1,15.7
183,Tue Sep 28 2021 07:01:54 GMT-0500 (CDT),18.2,79.1,14.5
184,Tue Sep 28 2021 08:01:54 GMT-0500 (CDT),18.5,76.1,14.2
185,Tue Sep 28 2021 09:01:54 GMT-0500 (CDT),19.3,72.3,14.2
186,Tue Sep 28 2021 10:01:54 GMT-0500 (CDT),19.6,69.9,14.0
187,Tue Sep 28 2021 11:01:54 GMT-0500 (CDT),19.5,69.2,13.8
188,Tue Sep 28 2021 12:01:54 GMT-0500 (CDT),19.5,68.6,13.6
189,Tue Sep 28 2021 13:01:54 GMT-0500 (CDT),19.4,66.9,13.1
190,Tue Sep 28 2021 14:01:54 GMT-0500 (CDT),19.3,67.8,13.3
191,Tue Sep 28 2021 15:01:54 GMT-0500 (CDT),19.3,66.7,13.0
192,Tue Sep 28 2021 16:01:54 GMT-0500 (CDT),19.1,66.4,12.7
193,Tue Sep 28 2021 17:01:54 GMT-0500 (CDT),18.9,68.9,13.1
194,Tue Sep 28 2021 18:01:54 GMT-0500 (CDT),18.6,72.0,13.5
195,Tue Sep 28 2021 19:01:54 GMT-0500 (CDT),18.4,75.0,13.9
196,Tue Sep 28 2021 20:01:54 GMT-0500 (CDT),18.3,77.4,14.3
197,Tue Sep 28 2021 21:01:54 GMT-0500 (CDT),18.3,79.5,14.7
198,Tue Sep 28 2021 22:01:54 GMT-0500 (CDT),18.4,81.7,15.2
199,Tue Sep 28 2021 23:01:54 GMT-0500 (CDT),18.4,83.6,15.6
200,Wed Sep 29 2021 00:01:54 GMT-0500 (CDT),18.3,85.5,15.8
201,Wed Sep 29 2021 01:01:54 GMT-0500 (CDT),18.2,86.8,16.0
202,Wed Sep 29 2021 02:01:54 GMT-0500 (CDT),18.0,86.0,15.6
203,Wed Sep 29 2021 03:01:54 GMT-0500 (CDT),17.7,84.6,15.1
204,Wed Sep 29 2021 04:01:54 GMT-0500 (CDT),17.6,81.9,14.5
205,Wed Sep 29 2021 05:01:54 GMT-0500 (CDT),17.4,78.2,13.6
206,Wed Sep 29 2021 06:01:54 GMT-0500 (CDT),17.2,74.7,12.7
207,Wed Sep 29 2021 07:01:54 GMT-0500 (CDT),17.1,71.0,11.8
208,Wed Sep 29 2021 08:01:54 GMT-0500 (CDT),18.2,71.2,12.9
209,Wed Sep 29 2021 09:01:54 GMT-0500 (CDT),19.4,68.1,13.4
210,Wed Sep 29 2021 10:01:54 GMT-0500 (CDT),20.1,67.7,14.0
211,Wed Sep 29 2021 11:01:54 GMT-0500 (CDT),20.5,67.7,14.4
212,Wed Sep 29 2021 12:01:54 GMT-0500 (CDT),20.7,67.1,14.4
213,Wed Sep 29 2021 13:01:54 GMT-0500 (CDT),20.8,66.4,14.4
214,Wed Sep 29 2021 14:01:54 GMT-0500 (CDT),20.8,66.9,14.5
215,Wed Sep 29 2021 15:01:54 GMT-0500 (CDT),21.0,66.2,14.5
216,Wed Sep 29 2021 16:01:54 GMT-0500 (CDT),20.9,66.1,14.4
217,Wed Sep 29 2021 17:01:54 GMT-0500 (CDT),20.4,69.8,14.8
218,Wed Sep 29 2021 18:01:54 GMT-0500 (CDT),19.8,72.4,14.7
219,Wed Sep 29 2021 19:01:54 GMT-0500 (CDT),19.3,77.2,15.2
220,Wed Sep 29 2021 20:01:54 GMT-0500 (CDT),19.2,79.6,15.6
221,Wed Sep 29 2021 21:01:54 GMT-0500 (CDT),19.1,80.9,15.8
222,Wed Sep 29 2021 22:01:54 GMT-0500 (CDT),18.9,81.7,15.7
223,Wed Sep 29 2021 23:01:54 GMT-0500 (CDT),18.7,83.7,15.9
224,Thu Sep 30 2021 00:01:54 GMT-0500 (CDT),18.6,85.7,16.2
225,Thu Sep 30 2021 01:01:54 GMT-0500 (CDT),18.5,85.9,16.1
226,Thu Sep 30 2021 02:01:54 GMT-0500 (CDT),18.4,86.0,16.0
227,Thu Sep 30 2021 03:01:54 GMT-0500 (CDT),18.1,83.4,15.3
228,Thu Sep 30 2021 04:01:54 GMT-0500 (CDT),17.9,79.3,14.3
229,Thu Sep 30 2021 05:01:54 GMT-0500 (CDT),17.8,77.2,13.8
230,Thu Sep 30 2021 06:01:54 GMT-0500 (CDT),17.6,72.4,12.6
231,Thu Sep 30 2021 07:01:54 GMT-0500 (CDT),18.2,71.6,13.0
232,Thu Sep 30 2021 08:01:54 GMT-0500 (CDT),18.8,68.5,12.9
233,Thu Sep 30 2021 09:01:54 GMT-0500 (CDT),20.3,64.5,13.4
234,Thu Sep 30 2021 10:01:54 GMT-0500 (CDT),20.9,62.1,13.4
235,Thu Sep 30 2021 11:01:54 GMT-0500 (CDT),21.5,61.8,13.9
236,Thu Sep 30 2021 12:01:54 GMT-0500 (CDT),22.7,56.0,13.6
237,Thu Sep 30 2021 13:01:54 GMT-0500 (CDT),22.1,60.1,14.1
238,Thu Sep 30 2021 14:01:54 GMT-0500 (CDT),21.7,63.5,14.5
239,Thu Sep 30 2021 15:01:54 GMT-0500 (CDT),22.0,61.5,14.3
240,Thu Sep 30 2021 16:01:54 GMT-0500 (CDT),21.8,57.7,13.2
241,Thu Sep 30 2021 17:01:54 GMT-0500 (CDT),20.9,64.1,13.9
242,Thu Sep 30 2021 18:01:54 GMT-0500 (CDT),20.3,69.8,14.7
243,Thu Sep 30 2021 19:01:54 GMT-0500 (CDT),19.9,74.7,15.3
244,Thu Sep 30 2021 20:01:54 GMT-0500 (CDT),19.6,77.5,15.6
245,Thu Sep 30 2021 21:01:54 GMT-0500 (CDT),19.5,76.0,15.2
246,Thu Sep 30 2021 22:01:54 GMT-0500 (CDT),19.2,76.7,15.0
247,Thu Sep 30 2021 23:01:54 GMT-0500 (CDT),19.1,72.4,14.1
248,Fri Oct 01 2021 00:01:54 GMT-0500 (CDT),18.9,66.6,12.6
249,Fri Oct 01 2021 01:01:54 GMT-0500 (CDT),18.7,66.4,12.4
250,Fri Oct 01 2021 02:01:54 GMT-0500 (CDT),18.6,64.9,11.9
251,Fri Oct 01 2021 03:01:54 GMT-0500 (CDT),18.6,63.1,11.5
252,Fri Oct 01 2021 04:01:54 GMT-0500 (CDT),18.4,63.7,11.5
253,Fri Oct 01 2021 05:01:54 GMT-0500 (CDT),18.2,65.1,11.6
254,Fri Oct 01 2021 06:01:54 GMT-0500 (CDT),17.9,66.9,11.7
255,Fri Oct 01 2021 07:01:54 GMT-0500 (CDT),18.0,67.1,11.9
256,Fri Oct 01 2021 08:01:54 GMT-0500 (CDT),18.9,66.6,12.6
257,Fri Oct 01 2021 09:01:54 GMT-0500 (CDT),20.5,64.9,13.7
258,Fri Oct 01 2021 10:01:54 GMT-0500 (CDT),21.9,65.2,15.1
259,Fri Oct 01 2021 11:01:54 GMT-0500 (CDT),22.8,66.3,16.3
260,Fri Oct 01 2021 12:01:54 GMT-0500 (CDT),23.0,68.1,16.9
261,Fri Oct 01 2021 13:01:54 GMT-0500 (CDT),22.9,70.4,17.3
262,Fri Oct 01 2021 14:01:54 GMT-0500 (CDT),23.0,70.3,17.4
263,Fri Oct 01 2021 15:01:54 GMT-0500 (CDT),22.9,71.7,17.6
264,Fri Oct 01 2021 16:01:54 GMT-0500 (CDT),22.4,72.8,17.3
265,Fri Oct 01 2021 17:01:54 GMT-0500 (CDT),21.8,75.8,17.4
266,Fri Oct 01 2021 18:01:54 GMT-0500 (CDT),21.2,77.9,17.2
267,Fri Oct 01 2021 19:01:54 GMT-0500 (CDT),20.9,78.2,17.0
268,Fri Oct 01 2021 20:01:54 GMT-0500 (CDT),20.7,79.3,17.0
269,Fri Oct 01 2021 21:01:54 GMT-0500 (CDT),20.8,73.7,16.0
270,Fri Oct 01 2021 22:01:54 GMT-0500 (CDT),20.6,69.1,14.8
271,Fri Oct 01 2021 23:01:54 GMT-0500 (CDT),20.6,64.8,13.8
272,Sat Oct 02 2021 00:01:54 GMT-0500 (CDT),20.4,62.5,13.1
273,Sat Oct 02 2021 01:01:54 GMT-0500 (CDT),20.6,63.5,13.5
274,Sat Oct 02 2021 02:01:54 GMT-0500 (CDT),20.7,63.4,13.6
275,Sat Oct 02 2021 03:01:54 GMT-0500 (CDT),20.3,64.8,13.5
276,Sat Oct 02 2021 04:01:54 GMT-0500 (CDT),20.2,67.0,13.9
277,Sat Oct 02 2021 05:01:54 GMT-0500 (CDT),20.3,69.3,14.5
278,Sat Oct 02 2021 06:01:54 GMT-0500 (CDT),20.4,70.5,14.9
279,Sat Oct 02 2021 07:01:54 GMT-0500 (CDT),20.1,71.5,14.8
280,Sat Oct 02 2021 08:01:54 GMT-0500 (CDT),21.0,71.6,15.7
281,Sat Oct 02 2021 09:01:54 GMT-0500 (CDT),22.2,72.2,17.0
282,Sat Oct 02 2021 10:01:54 GMT-0500 (CDT),23.0,73.8,18.1
283,Sat Oct 02 2021 11:01:54 GMT-0500 (CDT),23.7,72.4,18.5
284,Sat Oct 02 2021 12:01:54 GMT-0500 (CDT),24.5,71.3,19.0
285,Sat Oct 02 2021 13:01:54 GMT-0500 (CDT),24.9,70.4,19.2
286,Sat Oct 02 2021 14:01:54 GMT-0500 (CDT),24.3,71.8,18.9
287,Sat Oct 02 2021 15:01:54 GMT-0500 (CDT),23.4,78.2,19.4
288,Sat Oct 02 2021 16:01:54 GMT-0500 (CDT),22.5,83.9,19.7
289,Sat Oct 02 2021 17:01:54 GMT-0500 (CDT),21.9,89.0,20.0
290,Sat Oct 02 2021 18:01:54 GMT-0500 (CDT),21.5,90.7,19.9
291,Sat Oct 02 2021 19:01:54 GMT-0500 (CDT),21.1,91.0,19.6
292,Sat Oct 02 2021 20:01:54 GMT-0500 (CDT),20.9,90.6,19.3
293,Sat Oct 02 2021 21:01:54 GMT-0500 (CDT),20.8,90.6,19.2
294,Sat Oct 02 2021 22:01:54 GMT-0500 (CDT),20.8,90.8,19.3
295,Sat Oct 02 2021 23:01:54 GMT-0500 (CDT),20.8,90.7,19.2
296,Sun Oct 03 2021 00:01:54 GMT-0500 (CDT),20.7,91.0,19.2
297,Sun Oct 03 2021 01:01:54 GMT-0500 (CDT),20.6,91.4,19.2
298,Sun Oct 03 2021 02:01:54 GMT-0500 (CDT),20.5,91.3,19.0
299,Sun Oct 03 2021 03:01:54 GMT-0500 (CDT),20.7,91.4,19.3
300,Sun Oct 03 2021 04:01:54 GMT-0500 (CDT),20.6,92.1,19.3
301,Sun Oct 03 2021 05:01:54 GMT-0500 (CDT),20.7,92.4,19.4
302,Sun Oct 03 2021 06:01:54 GMT-0500 (CDT),20.5,93.1,19.4
303,Sun Oct 03 2021 07:01:54 GMT-0500 (CDT),20.9,92.4,19.6
304,Sun Oct 03 2021 08:01:54 GMT-0500 (CDT),21.1,91.1,19.6
305,Sun Oct 03 2021 09:01:54 GMT-0500 (CDT),22.0,89.3,20.2
306,Sun Oct 03 2021 10:01:54 GMT-0500 (CDT),22.7,85.4,20.2
307,Sun Oct 03 2021 11:01:54 GMT-0500 (CDT),23.1,83.6,20.2
308,Sun Oct 03 2021 12:01:54 GMT-0500 (CDT),23.8,79.9,20.2
309,Sun Oct 03 2021 13:01:54 GMT-0500 (CDT),23.4,79.5,19.7
